event_id,scheduled_pacific,offset_seconds,action,command_code,duration_byte,requested_duration_seconds,represented_duration_seconds,advanced_duration_minutes,advanced_value,advanced_units,expected_operational_states,generated,prerequisite_for
auto_outside_comm_for_shed_1,2026-07-29T14:59:20-07:00,-15,outside_communication,o,,,,,,,,true,shed_1
shed_1,2026-07-29T14:59:35-07:00,0,shed,s,0,,,,,,2|4,false,
auto_outside_comm_for_advanced_load_up_1,2026-07-29T15:02:20-07:00,165,outside_communication,o,,,,,,,,true,advanced_load_up_1
advanced_load_up_1,2026-07-29T15:02:35-07:00,180,advanced_load_up,a,,,,0,5,2,3|6,false,
auto_outside_comm_for_run_normal_1,2026-07-29T15:05:20-07:00,345,outside_communication,o,,,,,,,,true,run_normal_1
run_normal_1,2026-07-29T15:05:35-07:00,360,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_load_up_1,2026-07-29T15:07:20-07:00,465,outside_communication,o,,,,,,,,true,load_up_1
load_up_1,2026-07-29T15:07:35-07:00,480,load_up,l,0,,,,,,3|6,false,
auto_outside_comm_for_shed_2,2026-07-29T15:13:20-07:00,825,outside_communication,o,,,,,,,,true,shed_2
shed_2,2026-07-29T15:13:35-07:00,840,shed,s,0,,,,,,2|4,false,
auto_outside_comm_for_grid_emergency_1,2026-07-29T15:20:20-07:00,1245,outside_communication,o,,,,,,,,true,grid_emergency_1
grid_emergency_1,2026-07-29T15:20:35-07:00,1260,grid_emergency,g,0,,,,,,2|4,false,
auto_outside_comm_for_run_normal_2,2026-07-29T15:24:20-07:00,1485,outside_communication,o,,,,,,,,true,run_normal_2
run_normal_2,2026-07-29T15:24:35-07:00,1500,run_normal,e,0,,,,,,0|1,false,
auto_outside_comm_for_critical_peak_1,2026-07-29T15:26:20-07:00,1605,outside_communication,o,,,,,,,,true,critical_peak_1
critical_peak_1,2026-07-29T15:26:35-07:00,1620,critical_peak,c,0,,,,,,2|4,false,
auto_outside_comm_for_run_normal_3,2026-07-29T15:30:20-07:00,1845,outside_communication,o,,,,,,,,true,run_normal_3
run_normal_3,2026-07-29T15:30:35-07:00,1860,run_normal,e,0,,,,,,0|1,false,
